time real-time total unconfirmed
143 113.052 872 279
144 114.887 875 274
145 115.004 875 274
146 115.004 875 274
147 115.039 876 275
148 115.115 905 283
149 115.121 905 283
150 115.121 905 283
151 115.122 905 283
152 115.129 906 283
153 120.005 925 273
154 123.173 935 265
155 123.694 935 265
156 123.698 935 265
157 123.731 936 266
158 123.811 965 270
159 123.826 965 270
160 123.827 965 270
161 123.827 965 270
162 123.835 966 271
163 128.658 987 274
164 131.624 995 277
165 131.671 995 277
166 131.671 995 277
167 131.709 996 276
168 131.784 1025 288
169 131.787 1025 288
170 131.787 1025 288
171 131.788 1025 288
172 131.795 1026 289
173 137.793 1050 302
174 140.967 1055 301
175 141.52 1055 301
176 141.521 1055 301
177 141.557 1056 302
178 141.654 1085 308
179 141.67 1085 308
180 141.674 1085 308
181 141.676 1085 308
182 141.69 1086 308
183 148.719 1110 305
184 151.803 1115 304
185 151.92 1115 304
186 151.92 1115 304
187 151.962 1116 302
188 152.084 1145 297
189 152.09 1145 297
190 152.09 1145 297
191 152.09 1145 297
192 152.098 1146 297
193 157.536 1167 294
194 159.752 1175 295
195 159.786 1175 295
196 159.786 1175 295
197 159.823 1176 295
198 159.905 1205 291
199 159.907 1205 291
200 159.908 1205 291
201 159.908 1205 291
202 159.92 1206 290
203 164.446 1229 290
204 166.251 1235 288
205 166.296 1235 288
206 166.297 1235 288
207 166.348 1236 288
208 166.451 1265 295
209 166.455 1265 295
210 166.455 1265 295
211 166.455 1265 295
212 166.463 1266 296
213 172.168 1291 303
214 174.069 1295 306
215 174.078 1295 306
216 174.079 1295 306
217 174.116 1296 306
218 174.194 1325 288
219 174.195 1325 288
220 174.196 1325 288
221 174.196 1325 288
222 174.202 1326 288
223 180.326 1348 281
224 183.166 1355 280
225 183.533 1355 280
226 183.534 1355 280
227 183.591 1356 278
228 183.723 1385 287
229 183.736 1385 287
230 183.737 1385 287
231 183.737 1385 287
232 183.746 1386 287
233 189.292 1410 275
234 191.957 1415 271
235 192.006 1415 271
236 192.007 1415 271
237 192.058 1416 270
238 192.2 1445 262
239 192.204 1445 262
240 192.209 1445 262
241 192.211 1445 262
242 192.218 1446 263
243 197.07 1472 270
244 199.373 1475 273
245 199.393 1475 273
246 199.394 1475 273
247 199.435 1476 271
248 199.517 1505 275
249 199.519 1505 275
250 199.519 1505 275
251 199.52 1505 275
252 199.526 1506 270
253 203.669 1529 260
254 205.353 1535 262
255 205.376 1535 262
256 205.376 1535 262
257 205.417 1536 262
258 205.495 1565 271
259 205.497 1565 271
260 205.498 1565 271
261 205.498 1565 271
262 205.505 1566 271
263 210.024 1592 272
264 211.608 1595 275
265 211.632 1595 275
266 211.633 1595 275
267 211.69 1596 272
268 211.816 1625 273
269 211.819 1625 273
270 211.819 1625 273
271 211.82 1625 273
272 211.827 1626 274
273 218.081 1652 264
274 221.31 1655 264
275 221.448 1655 264
276 221.449 1655 264
277 221.493 1656 264
278 221.579 1685 263
279 221.586 1685 263
280 221.587 1685 263
281 221.587 1685 263
282 221.595 1686 263
283 226.9 1713 243
284 228.974 1715 244
285 229.017 1715 244
286 229.018 1715 244
287 229.058 1716 244
288 229.137 1745 250
289 229.14 1745 250
290 229.14 1745 250
291 229.14 1745 250
292 229.147 1746 251
293 235.468 1771 236
294 237.301 1775 238
295 237.32 1775 238
296 237.32 1775 238
297 237.363 1776 238
298 237.491 1805 242
299 237.493 1805 242
